 ------------------------------------------------------------------- ------------- -------- ------ ---------------------------------------------------------------------------------- 
  Name                                                                Method        Scheme   Host   Path                                                                              
  api.action.media-folder.dissolve                                    POST          ANY      ANY    /api/_action/media-folder/{folderId}/dissolve                                     
  api.action.media.upload                                             POST          ANY      ANY    /api/_action/media/{mediaId}/upload                                               
  api.action.media.rename                                             POST          ANY      ANY    /api/_action/media/{mediaId}/rename                                               
  api.action.media.provide-name                                       GET           ANY      ANY    /api/_action/media/provide-name                                                   
  api.action.mail_template.send                                       POST          ANY      ANY    /api/_action/mail-template/send                                                   
  api.action.mail_template.validate                                   POST          ANY      ANY    /api/_action/mail-template/validate                                               
  api.action.mail_template.build                                      POST          ANY      ANY    /api/_action/mail-template/build                                                  
  api.action.import_export.features                                   GET           ANY      ANY    /api/_action/import-export/features                                               
  api.action.import_export.initiate                                   POST          ANY      ANY    /api/_action/import-export/prepare                                                
  api.action.import_export.process                                    POST          ANY      ANY    /api/_action/import-export/process                                                
  api.action.import_export.file.prepare-download                      POST          ANY      ANY    /api/_action/import-export/file/prepare-download/{fileId}                         
  api.action.import_export.file.download                              GET           ANY      ANY    /api/_action/import-export/file/download                                          
  api.action.import_export.cancel                                     POST          ANY      ANY    /api/_action/import-export/cancel                                                 
  api.action.import_export.template_file.prepare_download             POST          ANY      ANY    /api/_action/import-export/prepare-template-file-download                         
  api.action.import_export.template_file.mapping                      POST          ANY      ANY    /api/_action/import-export/mapping-from-template                                  
  api.action.product_export.validate                                  POST          ANY      ANY    /api/_action/product-export/validate                                              
  api.action.product_export.preview                                   POST          ANY      ANY    /api/_action/product-export/preview                                               
  store-api.product.export                                            GET           ANY      ANY    /store-api/product-export/{accessKey}/{fileName}                                  
  api.seo-url-template.validate                                       POST          ANY      ANY    /api/_action/seo-url-template/validate                                            
  api.seo-url-template.preview                                        POST          ANY      ANY    /api/_action/seo-url-template/preview                                             
  api.seo-url-template.context                                        POST          ANY      ANY    /api/_action/seo-url-template/context                                             
  api.seo-url.canonical                                               PATCH         ANY      ANY    /api/_action/seo-url/canonical                                                    
  api.seo-url.create                                                  POST          ANY      ANY    /api/_action/seo-url/create-custom-url                                            
  api.seo-url-template.default                                        GET           ANY      ANY    /api/_action/seo-url-template/default/{routeName}                                 
  store-api.category.search                                           GET|POST      ANY      ANY    /store-api/category                                                               
  store-api.category.detail                                           GET|POST      ANY      ANY    /store-api/category/{navigationId}                                                
  store-api.navigation                                                GET|POST      ANY      ANY    /store-api/navigation/{activeId}/{rootId}                                         
  store-api.landing-page.detail                                       POST          ANY      ANY    /store-api/landing-page/{landingPageId}                                           
  store-api.product.cross-selling                                     POST          ANY      ANY    /store-api/product/{productId}/cross-selling                                      
  store-api.product.detail                                            POST          ANY      ANY    /store-api/product/{productId}                                                    
  store-api.product.listing                                           POST          ANY      ANY    /store-api/product-listing/{categoryId}                                           
  store-api.product.search                                            GET|POST      ANY      ANY    /store-api/product                                                                
  store-api.product-review.list                                       POST          ANY      ANY    /store-api/product/{productId}/reviews                                            
  store-api.product-review.save                                       POST          ANY      ANY    /store-api/product/{productId}/review                                             
  store-api.search                                                    POST          ANY      ANY    /store-api/search                                                                 
  store-api.search.suggest                                            POST          ANY      ANY    /store-api/search-suggest                                                         
  store-api.cms.detail                                                GET|POST      ANY      ANY    /store-api/cms/{id}                                                               
  store-api.contact.form                                              POST          ANY      ANY    /store-api/contact-form                                                           
  store-api.newsletter.confirm                                        POST          ANY      ANY    /store-api/newsletter/confirm                                                     
  store-api.newsletter.subscribe                                      POST          ANY      ANY    /store-api/newsletter/subscribe                                                   
